model,d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
first_half,1.0,0.0,0.6283185307179586,3.6193783,2.3003113,0.14993834,-1.0581551,0.055067062,0.041890834
first_half,1.0,0.0,1.2566370614359172,2.165116,-0.8154652,2.0888398,0.00016498566,-0.0002143383,0.0002839656
first_half,1.0,0.0,1.8849555921538759,0.9000976,-0.15868711,2.3440583,0.0005671978,5.2452087e-05,-2.6824137e-06
first_half,1.0,0.0,2.5132741228718345,0.9004706,-0.15864897,2.3440564,-0.00055909157,-5.2452087e-05,2.3511635e-05
first_half,1.0,0.6283185307179586,-3.141592653589793,1.7112919,0.11253238,-2.498857,-5.865097e-05,6.377697e-05,0.00038912165
first_half,1.0,0.6283185307179586,-2.5132741228718345,1.7112923,0.11253357,-2.4988556,-6.866455e-05,4.696846e-05,0.00039298763
first_half,1.0,0.6283185307179586,-1.8849555921538759,1.7112923,0.11253309,-2.4988577,-5.2928925e-05,6.151199e-05,0.00039717695
first_half,1.0,0.6283185307179586,-1.2566370614359172,1.2043895,1.4344189,-0.7491584,1.5258789e-05,-2.4795532e-05,-2.6879603e-05
first_half,1.0,0.6283185307179586,-0.6283185307179586,1.7112923,0.11253309,-2.4988577,-5.2928925e-05,6.151199e-05,0.00039717695
first_half,1.0,0.6283185307179586,0.0,1.2043898,1.4344184,-0.7491591,2.7656555e-05,-2.193451e-05,1.309747e-05
first_half,1.0,0.6283185307179586,0.6283185307179586,1.7112921,0.11253357,-2.4988556,-6.723404e-05,4.7683716e-05,0.0003925108
first_half,1.0,0.6283185307179586,1.2566370614359172,0.90047383,-0.15864825,2.3440564,-0.00056505203,-5.4359436e-05,2.8146844e-05
first_half,1.0,0.6283185307179586,1.8849555921538759,1.2043905,1.4344189,-0.74915767,-8.583069e-06,-1.4305115e-05,-5.073518e-05
first_half,1.0,0.6283185307179586,2.5132741228718345,1.7112939,0.11253452,-2.4988565,-6.151199e-05,5.042553e-05,0.00039916422
first_half,1.0,1.2566370614359172,-3.141592653589793,0.90047187,-0.15864849,2.3440564,-0.0005645752,-6.9618225e-05,3.1836087e-05
first_half,1.0,1.2566370614359172,-2.5132741228718345,1.7112919,0.112534046,-2.4988544,-7.390976e-05,4.6133995e-05,0.0003893559
first_half,1.0,1.2566370614359172,-1.8849555921538759,1.7112924,0.112532616,-2.4988592,-4.529953e-05,6.747246e-05,0.0004023331
first_half,1.0,1.2566370614359172,-1.2566370614359172,1.2043905,1.434418,-0.74915886,6.67572e-06,1.9073486e-06,1.869391e-05
first_half,1.0,1.2566370614359172,-0.6283185307179586,1.2043891,1.4344199,-0.7491567,-3.8146973e-06,-2.4795532e-05,-0.00010634313
first_half,1.0,1.2566370614359172,0.0,1.2043874,1.4344199,-0.7491586,5.6266785e-05,-4.9591064e-05,-7.847088e-05
first_half,1.0,1.2566370614359172,0.6283185307179586,0.90009767,-0.15868735,2.3440583,0.00056147575,6.67572e-05,-1.4219272e-05
first_half,1.0,1.2566370614359172,1.2566370614359172,0.9004706,-0.15864873,2.3440564,-0.0005605221,-5.6266785e-05,2.3046367e-05
first_half,1.0,1.2566370614359172,1.8849555921538759,0.9004706,-0.15864897,2.3440564,-0.00055909157,-5.2452087e-05,2.3511635e-05
first_half,1.0,1.2566370614359172,2.5132741228718345,1.7112916,0.112532616,-2.4988565,-5.722046e-05,5.9962273e-05,0.00038636112
first_half,1.0,1.8849555921538759,-3.141592653589793,2.165114,-0.8154652,2.0888445,0.00022602081,-0.0002374649,0.00027547954
first_half,1.0,1.8849555921538759,-2.5132741228718345,1.7112916,0.11253214,-2.4988573,-6.365776e-05,6.175041e-05,0.00038876515
first_half,1.0,1.8849555921538759,-1.8849555921538759,1.7112918,0.11253357,-2.498855,-6.580353e-05,4.506111e-05,0.00038631915
