d,theta1,theta2
2.575949430465698242e+00,2.552999973297119141e+00,1.270000040531158447e-01
2.626582384109497070e+00,-2.419999986886978149e-01,2.753000020980834961e+00
2.626582384109497070e+00,1.495000004768371582e+00,-1.993999958038330078e+00
2.626582384109497070e+00,2.542999982833862305e+00,1.299999952316284180e-01
2.677215099334716797e+00,-2.370000034570693970e-01,2.753000020980834961e+00
2.677215099334716797e+00,-2.370000034570693970e-01,2.753999948501586914e+00
2.677215099334716797e+00,1.488000035285949707e+00,-1.986999988555908203e+00
2.677215099334716797e+00,2.532000064849853516e+00,1.330000013113021851e-01
2.727848052978515625e+00,-2.310000061988830566e-01,2.753000020980834961e+00
2.727848052978515625e+00,1.480999946594238281e+00,-1.980000019073486328e+00
2.727848052978515625e+00,2.520999908447265625e+00,1.360000073909759521e-01
2.778481006622314453e+00,-2.240000069141387939e-01,2.752000093460083008e+00
2.778481006622314453e+00,1.472000002861022949e+00,-1.975000023841857910e+00
2.778481006622314453e+00,2.507999897003173828e+00,1.389999985694885254e-01
2.829113960266113281e+00,-2.169999927282333374e-01,2.750999927520751953e+00
2.829113960266113281e+00,1.460999965667724609e+00,-1.970000028610229492e+00
2.829113960266113281e+00,1.462000012397766113e+00,-1.970000028610229492e+00
2.829113960266113281e+00,2.494999885559082031e+00,1.410000026226043701e-01
2.879746913909912109e+00,-2.099999934434890747e-01,2.749000072479248047e+00
2.879746913909912109e+00,1.449000000953674316e+00,-1.965999960899353027e+00
2.879746913909912109e+00,2.480999946594238281e+00,1.430000066757202148e-01
2.930379629135131836e+00,-2.020000070333480835e-01,2.746999979019165039e+00
2.930379629135131836e+00,1.432999968528747559e+00,-1.963000059127807617e+00
2.930379629135131836e+00,2.464999914169311523e+00,1.449999958276748657e-01
2.930379629135131836e+00,2.466000080108642578e+00,1.449999958276748657e-01
2.981012582778930664e+00,-1.940000057220458984e-01,2.743999958038330078e+00
2.981012582778930664e+00,1.411999940872192383e+00,-1.962000012397766113e+00
2.981012582778930664e+00,2.448999881744384766e+00,1.469999998807907104e-01
3.031645536422729492e+00,-1.860000044107437134e-01,2.742000102996826172e+00
3.031645536422729492e+00,1.381000041961669922e+00,-1.963000059127807617e+00
3.031645536422729492e+00,1.547000050544738770e+00,2.013000011444091797e+00
3.031645536422729492e+00,2.430000066757202148e+00,1.490000039339065552e-01
3.082278490066528320e+00,-1.780000030994415283e-01,2.739000082015991211e+00
3.082278490066528320e+00,1.315999984741210938e+00,-1.970999956130981445e+00
3.082278490066528320e+00,1.521000027656555176e+00,1.957999944686889648e+00
3.082278490066528320e+00,1.521999955177307129e+00,1.957999944686889648e+00
