d,theta1,theta2
1.857142806053161621e+00,1.881000041961669922e+00,-1.863000035285949707e+00
1.857142806053161621e+00,2.770999908447265625e+00,8.600000292062759399e-02
1.928571462631225586e+00,-1.932999968528747559e+00,1.990000009536743164e-01
1.928571462631225586e+00,-2.899999916553497314e-02,2.971999883651733398e+00
1.928571462631225586e+00,1.886999964714050293e+00,-1.825000047683715820e+00
1.928571462631225586e+00,2.747999906539916992e+00,9.600000083446502686e-02
2.000000000000000000e+00,-1.922000050544738770e+00,1.430000066757202148e-01
2.000000000000000000e+00,-2.700000070035457611e-02,3.025000095367431641e+00
2.000000000000000000e+00,6.859999895095825195e-01,-5.879999995231628418e-01
2.000000000000000000e+00,1.899000048637390137e+00,-1.777999997138977051e+00
2.000000000000000000e+00,2.721999883651733398e+00,1.080000028014183044e-01
2.071428537368774414e+00,-1.907999992370605469e+00,9.799999743700027466e-02
2.071428537368774414e+00,-2.600000053644180298e-02,3.072000026702880859e+00
2.071428537368774414e+00,1.922000050544738770e+00,-1.712000012397766113e+00
2.071428537368774414e+00,2.694000005722045898e+00,1.220000013709068298e-01
2.142857074737548828e+00,-1.891999959945678711e+00,5.999999865889549255e-02
2.142857074737548828e+00,-2.600000053644180298e-02,3.114000082015991211e+00
2.142857074737548828e+00,1.978000044822692871e+00,-1.570000052452087402e+00
2.142857074737548828e+00,1.978000044822692871e+00,-1.569000005722045898e+00
2.142857074737548828e+00,2.661000013351440430e+00,1.389999985694885254e-01
2.214285612106323242e+00,-1.878000020980834961e+00,2.700000070035457611e-02
2.214285612106323242e+00,-2.700000070035457611e-02,-3.128999948501586914e+00
2.214285612106323242e+00,2.618000030517578125e+00,1.599999964237213135e-01
2.285714387893676758e+00,-1.863999962806701660e+00,0.000000000000000000e+00
2.285714387893676758e+00,-1.863999962806701660e+00,1.000000047497451305e-03
2.285714387893676758e+00,-1.049999967217445374e-01,-2.411000013351440430e+00
2.285714387893676758e+00,-1.049999967217445374e-01,-2.410000085830688477e+00
