d,theta1,theta2
1.765822768211364746e+00,-5.099999904632568359e-02,2.441999912261962891e+00
1.765822768211364746e+00,1.452999949455261230e+00,-2.144999980926513672e+00
1.765822768211364746e+00,2.676000118255615234e+00,2.999999932944774628e-02
1.816455721855163574e+00,-2.183000087738037109e+00,2.792000055313110352e+00
1.816455721855163574e+00,-3.400000184774398804e-02,2.532999992370605469e+00
1.816455721855163574e+00,2.667999982833862305e+00,3.500000014901161194e-02
1.867088556289672852e+00,-2.428999900817871094e+00,-1.700000092387199402e-02
1.867088556289672852e+00,-2.427999973297119141e+00,-1.700000092387199402e-02
1.867088556289672852e+00,-2.108000040054321289e+00,2.671000003814697266e+00
1.867088556289672852e+00,-2.300000004470348358e-02,2.684000015258789062e+00
1.867088556289672852e+00,2.661000013351440430e+00,3.999999910593032837e-02
1.917721509933471680e+00,-2.384000062942504883e+00,-4.000000189989805222e-03
1.917721509933471680e+00,-1.991000056266784668e+00,2.542000055313110352e+00
1.917721509933471680e+00,-1.400000043213367462e-02,-2.743999958038330078e+00
1.917721509933471680e+00,2.655999898910522461e+00,4.500000178813934326e-02
1.968354463577270508e+00,-2.375000000000000000e+00,-1.099999994039535522e-02
1.968354463577270508e+00,-2.000000094994902611e-03,-2.681999921798706055e+00
1.968354463577270508e+00,2.651000022888183594e+00,5.000000074505805969e-02
2.018987417221069336e+00,-2.367000102996826172e+00,-1.899999938905239105e-02
2.018987417221069336e+00,6.000000052154064178e-03,-2.654000043869018555e+00
2.018987417221069336e+00,2.647000074386596680e+00,5.499999970197677612e-02
2.069620370864868164e+00,-2.358999967575073242e+00,-2.700000070035457611e-02
2.069620370864868164e+00,1.200000010430812836e-02,-2.637000083923339844e+00
2.069620370864868164e+00,2.642999887466430664e+00,5.999999865889549255e-02
2.120253086090087891e+00,-2.351000070571899414e+00,-3.500000014901161194e-02
2.120253086090087891e+00,1.600000075995922089e-02,-2.625000000000000000e+00
2.120253086090087891e+00,2.640000104904174805e+00,6.499999761581420898e-02
2.170886039733886719e+00,-2.344000101089477539e+00,-4.199999943375587463e-02
2.170886039733886719e+00,1.899999938905239105e-02,-2.617000102996826172e+00
2.170886039733886719e+00,2.635999917984008789e+00,6.899999827146530151e-02
2.221518993377685547e+00,-2.335999965667724609e+00,-5.000000074505805969e-02
2.221518993377685547e+00,2.099999971687793732e-02,-2.611000061035156250e+00
2.221518993377685547e+00,2.632999897003173828e+00,7.400000095367431641e-02
2.272151947021484375e+00,-2.328000068664550781e+00,-5.799999833106994629e-02
2.272151947021484375e+00,2.199999988079071045e-02,-2.605999946594238281e+00
2.272151947021484375e+00,2.628999948501586914e+00,7.900000363588333130e-02
2.322784900665283203e+00,-2.319999933242797852e+00,-6.499999761581420898e-02
2.322784900665283203e+00,2.300000004470348358e-02,-2.601000070571899414e+00
2.322784900665283203e+00,2.625000000000000000e+00,8.299999684095382690e-02
2.373417615890502930e+00,-2.312000036239624023e+00,-7.199999690055847168e-02
2.373417615890502930e+00,2.300000004470348358e-02,-2.598000049591064453e+00
2.373417615890502930e+00,2.619999885559082031e+00,8.799999952316284180e-02
2.424050569534301758e+00,-2.302999973297119141e+00,-7.900000363588333130e-02
2.424050569534301758e+00,2.300000004470348358e-02,-2.594000101089477539e+00
2.424050569534301758e+00,2.615000009536743164e+00,9.300000220537185669e-02
2.474683523178100586e+00,-2.295000076293945312e+00,-8.600000292062759399e-02
2.474683523178100586e+00,2.300000004470348358e-02,-2.591000080108642578e+00
2.474683523178100586e+00,2.608000040054321289e+00,9.700000286102294922e-02
2.525316476821899414e+00,-2.286000013351440430e+00,-9.300000220537185669e-02
2.525316476821899414e+00,2.199999988079071045e-02,-2.586999893188476562e+00
2.525316476821899414e+00,2.601000070571899414e+00,1.019999980926513672e-01
2.575949430465698242e+00,-2.276000022888183594e+00,-1.000000014901161194e-01
2.575949430465698242e+00,2.099999971687793732e-02,-2.584000110626220703e+00
2.575949430465698242e+00,2.592000007629394531e+00,1.070000007748603821e-01
2.626582384109497070e+00,-2.266000032424926758e+00,-1.070000007748603821e-01
2.626582384109497070e+00,1.999999955296516418e-02,-2.581000089645385742e+00
2.626582384109497070e+00,2.582000017166137695e+00,1.120000034570693970e-01
2.677215099334716797e+00,-2.255000114440917969e+00,-1.140000000596046448e-01
2.677215099334716797e+00,1.799999922513961792e-02,-2.578000068664550781e+00
2.677215099334716797e+00,2.569999933242797852e+00,1.180000007152557373e-01
2.727848052978515625e+00,-2.243000030517578125e+00,-1.220000013709068298e-01
