d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.0,-1.2566370614359172,0.0,3.0098312,0.24359965,-2.176971,-0.33350435,-0.8913609,-0.3145927
1.0,-1.2566370614359172,0.6283185307179586,2.5198357,2.7676451,0.0922637,0.0006783552,0.00014088706,-0.00014733277
1.0,-1.2566370614359172,1.2566370614359172,6.0456486,-0.01577425,-2.4202335,2.5352838,0.050046355,1.5536433
1.0,-1.2566370614359172,1.8849555921538759,6.0999885,-0.0148153305,-2.384782,2.0182214,0.022054609,1.5746888
1.0,-1.2566370614359172,2.5132741228718345,5.8925257,0.05046296,-2.1021223,-2.2567115,-0.31653777,1.3278247
1.0,-0.6283185307179586,-3.141592653589793,2.5198452,2.767649,0.09226251,0.00074592937,0.00010661484,-0.00015287528
1.0,-0.6283185307179586,-2.5132741228718345,5.9225235,-0.06270218,-1.9773605,-3.072572,-0.48348555,1.5047783
1.0,-0.6283185307179586,-1.8849555921538759,3.0442867,0.6405349,-2.046775,0.6439585,-2.4333303,-0.7172099
1.0,-0.6283185307179586,-1.2566370614359172,2.5198398,2.7676442,0.092264175,0.00066940766,0.00014915288,-0.00015109048
1.0,-0.6283185307179586,-0.6283185307179586,6.015705,0.011667013,-1.0910113,-10.25906,-0.35220096,8.770567
1.0,-0.6283185307179586,0.0,4.8625407,-0.07773757,-2.680819,5.7347155,0.39670405,0.17710447
1.0,-0.6283185307179586,0.6283185307179586,3.09536,0.85271263,2.6009824,10.786494,-2.1768823,7.0501575
1.0,-0.6283185307179586,1.2566370614359172,2.519844,2.767646,0.09226346,0.0006973908,0.00014151087,-0.00015417472
1.0,-0.6283185307179586,1.8849555921538759,5.358545,0.010140896,-0.51098776,-17.547356,0.38022378,12.498586
1.0,-0.6283185307179586,2.5132741228718345,5.8307943,-0.06171775,2.3029869,0.33872825,0.6896851,-1.5126314
1.0,0.0,-3.141592653589793,4.7655573,-0.084335566,-2.6815066,5.6972218,0.38524142,0.005153855
1.0,0.0,-2.5132741228718345,2.519838,2.7676418,0.092264414,0.00063653535,0.00015514757,-0.00013674548
1.0,0.0,-1.8849555921538759,7.8679986,0.11977124,-2.1601045,-0.019537523,0.3772229,2.106061
1.0,0.0,-1.2566370614359172,6.5125628,0.045237303,-1.4290702,-7.7443914,-0.6443239,4.363635
1.0,0.0,-0.6283185307179586,6.1693025,-0.025290728,-2.153543,-1.2072284,-0.20030862,1.5437858
1.0,0.0,0.0,3.009147,0.07024765,-2.2563193,0.42044663,-0.40015882,-0.27883375
1.0,0.0,0.6283185307179586,5.4078703,-0.017036438,-1.9023151,-4.1962523,-0.64054614,1.4221188
1.0,0.0,1.2566370614359172,3.0065517,0.07291603,-2.2545047,0.39980823,-0.40433657,-0.27643013
1.0,0.0,1.8849555921538759,3.8784308,0.6977966,3.0431216,13.882486,-2.9174092,6.942054
1.0,0.0,2.5132741228718345,2.0632703,0.11357808,2.4008944,0.6456572,-0.44768932,1.8579949
1.0,0.6283185307179586,-3.141592653589793,3.1128054,0.013229609,-2.3056338,0.9884935,-0.3471513,-0.38233727
1.0,0.6283185307179586,-2.5132741228718345,2.2165542,-0.88828945,-1.8396115,0.04954866,-1.3631964,-3.4777212
1.0,0.6283185307179586,-1.8849555921538759,2.7237954,0.021649122,0.007966042,-17.790854,-0.10207894,0.4092645
1.0,0.6283185307179586,-1.2566370614359172,5.959791,-0.056940794,-1.9965153,-2.9097788,-0.44895008,1.5049136
1.0,0.6283185307179586,-0.6283185307179586,2.5198386,2.767646,0.09226322,0.00069309946,0.0001266522,-0.00014012797
1.0,0.6283185307179586,0.0,2.5200574,2.7675135,0.09227157,-0.00097140466,-7.987179e-05,0.00016452717
1.0,0.6283185307179586,0.6283185307179586,5.1063323,-0.31872392,2.2928622,0.7460408,1.1397805,-1.8952773
1.0,0.6283185307179586,1.2566370614359172,4.747373,0.4597931,-2.825775,11.74469,-4.222529,4.869462
1.0,0.6283185307179586,1.8849555921538759,2.9814987,0.13981223,-2.2176282,-0.006281936,-0.55053246,-0.2559357
1.0,0.6283185307179586,2.5132741228718345,3.185521,-0.009269714,-2.33259,1.3054364,-0.34566537,-0.46311516
1.0,1.2566370614359172,-3.141592653589793,4.5617867,-0.09701085,-2.6732767,5.5172334,0.31990966,-0.35419825
1.0,1.2566370614359172,-2.5132741228718345,2.827883,0.9555757,-1.9961259,2.697507,-2.1706517,0.07384469
1.0,1.2566370614359172,-1.8849555921538759,4.023604,-0.62741685,3.0769265,11.3986225,1.9204444,-7.090256
1.0,1.2566370614359172,-1.2566370614359172,2.519843,2.7676423,0.092264414,0.00064773683,0.00014402824,-0.00014271449
1.0,1.2566370614359172,-0.6283185307179586,4.6106744,-0.31194925,-1.481804,-6.680329,-1.3793211,2.1601489
1.0,1.2566370614359172,0.0,5.830266,-0.033121586,2.2375987,-0.5755047,0.6500376,-1.6070873
1.0,1.2566370614359172,0.6283185307179586,2.5198338,2.7676423,0.09226489,0.0006397023,0.00016252788,-0.00014633448
1.0,1.2566370614359172,1.2566370614359172,2.5198374,2.7676437,0.09226465,0.0006616563,0.00015089507,-0.00013934245
1.0,1.2566370614359172,1.8849555921538759,2.986929,0.10362363,-2.2357988,0.18933243,-0.46222028,-0.25882354
