d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
1.5,0.0,-1.2566370614359172,1.328497,2.7004664,0.049614668,-0.6453065,-0.29481345,0.9180681
1.5,0.0,-0.6283185307179586,1.311801,2.708892,0.15508938,0.50116754,0.6040104,1.1595904
1.5,0.0,0.0,1.4240998,-0.16952848,-2.2729075,-0.0003605145,0.0005467342,0.00051052583
1.5,0.0,0.6283185307179586,1.4240911,-0.16952705,-2.2728999,-0.00033375333,0.00050846004,0.0005005247
1.5,0.0,1.2566370614359172,1.4240862,-0.16952991,-2.2728987,-0.00031949612,0.0005244012,0.0005119963
1.5,0.0,1.8849555921538759,1.4241146,-0.16952634,-2.2729158,-0.00040656325,0.0005294493,0.00051184156
1.5,0.0,2.5132741228718345,1.4240805,-0.16953325,-2.2728975,-0.0003026827,0.00050056947,0.000504011
1.5,0.6283185307179586,-3.141592653589793,1.4240721,-0.16952944,-2.2728891,-0.00031282927,0.00046094545,0.0005098952
1.5,0.6283185307179586,-2.5132741228718345,1.424131,-0.1695242,-2.272926,-0.0003849189,0.00047089322,0.0005755018
1.5,0.6283185307179586,-1.8849555921538759,1.5226524,0.34830093,-2.5846455,-0.08020124,-0.33917317,-0.48868525
1.5,0.6283185307179586,-1.2566370614359172,1.4236023,-0.16937947,-2.2724848,-0.00059631024,-8.72689e-05,0.00040487305
1.5,0.6283185307179586,-0.6283185307179586,1.4235785,-0.16937828,-2.2724688,-0.00060914183,-0.00014403778,0.0003725101
1.5,0.6283185307179586,0.0,1.4627677,0.28837323,-2.363146,0.20739445,0.43484733,-0.31165192
1.5,0.6283185307179586,0.6283185307179586,1.4241151,-0.16952825,-2.2729177,-0.00035060837,0.0005311619,0.00052857783
1.5,0.6283185307179586,1.2566370614359172,1.5694577,3.105708,-0.0078680515,-0.0041297786,-0.92549604,-0.39166096
1.5,0.6283185307179586,1.8849555921538759,1.5458646,3.012274,0.22707462,0.69020844,1.7610983,-1.0030264
1.5,0.6283185307179586,2.5132741228718345,1.5694317,3.1236446,0.0011870861,0.002210512,-0.8061464,-0.43498683
1.5,1.2566370614359172,-3.141592653589793,1.5735943,-3.1190023,0.0768404,-0.06498422,0.16402315,-0.77205914
1.5,1.2566370614359172,-2.5132741228718345,1.4239836,-0.16954327,-2.272835,-0.00015509668,0.00054449,0.0003402446
1.5,1.2566370614359172,-1.8849555921538759,1.4241432,-0.16953349,-2.2729394,-0.00037977687,0.0005558325,0.0005566735
1.5,1.2566370614359172,-1.2566370614359172,1.423647,-0.16938424,-2.2725182,-0.0006512404,-2.9207782e-05,0.0003905796
1.5,1.2566370614359172,-0.6283185307179586,1.3463074,2.7460415,0.2079463,1.0588436,1.0660549,1.0127676
1.5,1.2566370614359172,0.0,1.4240663,-0.16953254,-2.2728863,-0.0003006979,0.0004980935,0.00046752588
1.5,1.2566370614359172,0.6283185307179586,1.3061476,2.693576,0.09824133,-0.13916689,0.11278974,1.1012795
1.5,1.2566370614359172,1.2566370614359172,1.4238392,-0.1695404,-2.2727344,-2.7017093e-05,0.0004190388,0.00023618304
1.5,1.2566370614359172,1.8849555921538759,0.91057104,2.0317,-0.027299643,-4.1832955e-06,-0.0005607564,-0.000787917
1.5,1.2566370614359172,2.5132741228718345,1.4166157,2.7571824,-0.01429534,-1.0272528,-0.78608274,0.47426316
1.5,1.8849555921538759,-3.141592653589793,1.5745527,3.1212432,0.14407992,0.07173128,0.9528074,-1.0622056
1.5,1.8849555921538759,-2.5132741228718345,1.4395069,2.7761652,-0.02349186,-1.0100977,-0.8647864,0.38404486
1.5,1.8849555921538759,-1.8849555921538759,1.4390233,2.7757428,-0.023314,-1.0107676,-0.8631649,0.38589016
1.5,1.8849555921538759,-1.2566370614359172,1.5754778,-3.1341286,0.10914087,-0.034324974,0.5514348,-0.9231252
1.5,1.8849555921538759,-0.6283185307179586,1.4240998,-0.16952896,-2.2729075,-0.00033269307,0.000578461,0.0005048458
1.5,1.8849555921538759,0.0,1.5744308,3.1199687,0.1454351,0.077465095,0.9679961,-1.066606
1.5,1.8849555921538759,0.6283185307179586,1.5684584,3.0593245,-0.024151325,-0.06293004,-1.1258638,-0.29572353
1.5,1.8849555921538759,1.2566370614359172,1.570219,3.0915015,0.17243624,0.21949913,1.2595385,-1.1290411
1.5,1.8849555921538759,1.8849555921538759,1.4240816,-0.16953611,-2.2728992,-0.00027532023,0.0005068634,0.0004965547
1.5,1.8849555921538759,2.5132741228718345,1.4236183,-0.1693778,-2.2724962,-0.0006363299,-3.9015868e-05,0.00041842356
1.5,2.5132741228718345,-3.141592653589793,1.3120394,2.709193,0.15571737,0.5081473,0.60943365,1.1591897
1.5,2.5132741228718345,-2.5132741228718345,1.4241426,-0.16952968,-2.272938,-0.0004220155,0.0005412977,0.0005733722
1.5,2.5132741228718345,-1.8849555921538759,1.4674268,2.8028738,-0.032521248,-0.94537205,-0.95707816,0.2808829
1.5,2.5132741228718345,-1.2566370614359172,1.5063535,2.9356396,0.25736332,1.1276886,1.9091301,-0.545755
1.5,2.5132741228718345,-0.6283185307179586,1.5694613,3.1111872,-0.005333662,-0.0010768156,-0.8923784,-0.4042214
1.5,2.5132741228718345,0.0,1.518131,2.8694575,-0.043086767,-0.6944334,-1.1332014,0.0925623
1.5,2.5132741228718345,0.6283185307179586,1.3720142,2.771929,0.2302134,1.2588708,1.2823644,0.84368014
1.5,2.5132741228718345,1.2566370614359172,1.5684017,3.0581677,-0.024467707,-0.065053105,-1.1293609,-0.2934541
1.5,2.5132741228718345,1.8849555921538759,1.3358817,2.704181,0.040741682,-0.7258936,-0.365501,0.8712552
1.5,2.5132741228718345,2.5132741228718345,1.5669805,3.0364883,-0.029845953,-0.11017669,-1.1850808,-0.25123185
2.0,-3.141592653589793,-3.141592653589793,1.5499936,2.942891,-0.04299903,-0.39935884,-1.2411032,-0.0672348
2.0,-3.141592653589793,-2.5132741228718345,1.4241508,-0.16952157,-2.2729402,-0.00039953116,0.0005371958,0.00060548517
2.0,-3.141592653589793,-1.8849555921538759,1.5729845,-3.1174517,0.069619894,-0.06403081,0.075524315,-0.73798436
2.0,-3.141592653589793,-1.2566370614359172,1.4240791,-0.16954422,-2.272902,-0.00024183314,0.0004908373,0.00050744234
2.0,-3.141592653589793,-0.6283185307179586,1.5212673,2.8749368,-0.043430567,-0.67177063,-1.1446587,0.07957745
2.0,-3.141592653589793,0.0,1.5187984,2.870608,-0.04316306,-0.68966883,-1.135654,0.08982817
2.0,-3.141592653589793,0.6283185307179586,1.3246827,2.723676,0.18069792,0.7809413,0.8246464,1.1203673
2.0,-3.141592653589793,1.2566370614359172,1.3674064,2.7225268,0.013121843,-0.9336146,-0.57718277,0.69688356
2.0,-3.141592653589793,1.8849555921538759,1.5217733,2.8758404,-0.04348159,-0.6680307,-1.1465205,0.07750353
2.0,-3.141592653589793,2.5132741228718345,1.4241294,-0.16952443,-2.2729254,-0.00040190946,0.00053054054,0.0005632207
2.0,-2.5132741228718345,-3.141592653589793,1.4241462,-0.16952634,-2.2729378,-0.0004010846,0.00046818715,0.0005773087
2.0,-2.5132741228718345,-2.5132741228718345,1.4236705,-0.16938305,-2.2725341,-0.0006608244,-7.6237893e-06,0.00043025895
2.0,-2.5132741228718345,-1.8849555921538759,1.3708196,2.7246993,0.010756493,-0.9473252,-0.5948584,0.67981744
2.0,-2.5132741228718345,-1.2566370614359172,1.3730572,2.7261436,0.009254456,-0.9555798,-0.6060863,0.6687971
2.0,-2.5132741228718345,-0.6283185307179586,1.5475781,0.32334232,-2.490027,0.06401974,-0.1065563,-0.30796382
2.0,-2.5132741228718345,0.0,1.5015961,0.29723334,-2.5562897,-0.12931658,-0.26135334,-0.12672915
2.0,-2.5132741228718345,0.6283185307179586,1.5104798,0.30387235,-2.4352903,0.115407504,0.1631148,-0.2803355
2.0,-2.5132741228718345,1.2566370614359172,1.4241033,-0.16953206,-2.2729108,-0.0003915838,0.00049667293,0.00051857636
2.0,-2.5132741228718345,1.8849555921538759,1.5479883,2.9364626,-0.043377876,-0.42364302,-1.2360791,-0.054086477
2.0,-2.5132741228718345,2.5132741228718345,1.424073,-0.1695311,-2.2728903,-0.0002965247,0.00055412715,0.0004978762
