d,theta1,theta2
2.833333253860473633e+00,-9.899999946355819702e-02,-2.122999906539916992e+00
2.979166746139526367e+00,-1.789000034332275391e+00,-9.099999815225601196e-02
2.979166746139526367e+00,-1.616999983787536621e+00,-7.900000214576721191e-01
2.979166746139526367e+00,-9.000000357627868652e-02,-2.072999954223632812e+00
2.979166746139526367e+00,2.599999904632568359e-01,-5.900000035762786865e-02
3.125000000000000000e+00,-1.794999957084655762e+00,-8.900000154972076416e-02
3.125000000000000000e+00,-9.670000076293945312e-01,-1.360000073909759521e-01
3.125000000000000000e+00,-8.699999749660491943e-02,-2.007999897003173828e+00
3.125000000000000000e+00,2.199999988079071045e-01,-3.599999845027923584e-02
3.270833253860473633e+00,-1.842000007629394531e+00,-7.500000298023223877e-02
3.270833253860473633e+00,-1.001000046730041504e+00,-1.400000005960464478e-01
3.270833253860473633e+00,-1.019999980926513672e-01,-1.912999987602233887e+00
3.270833253860473633e+00,1.969999969005584717e-01,-2.199999988079071045e-02
3.416666746139526367e+00,-1.955999970436096191e+00,-4.899999871850013733e-02
3.416666746139526367e+00,-1.039999961853027344e+00,-1.340000033378601074e-01
3.416666746139526367e+00,1.819999963045120239e-01,-1.200000010430812836e-02
3.562500000000000000e+00,-2.049999952316284180e+00,-3.799999877810478210e-02
3.562500000000000000e+00,-1.070999979972839355e+00,-1.150000020861625671e-01
3.562500000000000000e+00,1.700000017881393433e-01,-4.999999888241291046e-03
3.562500000000000000e+00,1.407999992370605469e+00,1.440999984741210938e+00
3.708333253860473633e+00,-2.114000082015991211e+00,-3.700000047683715820e-02
3.708333253860473633e+00,-1.082999944686889648e+00,-8.900000154972076416e-02
3.708333253860473633e+00,1.609999984502792358e-01,1.000000047497451305e-03
3.708333253860473633e+00,1.218999981880187988e+00,2.349999994039535522e-01
3.708333253860473633e+00,1.307999968528747559e+00,1.391000032424926758e+00
3.854166746139526367e+00,-2.158999919891357422e+00,-3.799999877810478210e-02
3.854166746139526367e+00,-1.082999944686889648e+00,-6.700000166893005371e-02
3.854166746139526367e+00,-5.200000107288360596e-02,-2.950999975204467773e+00
3.854166746139526367e+00,1.539999991655349731e-01,4.999999888241291046e-03
3.854166746139526367e+00,1.210000038146972656e+00,1.335999965667724609e+00
3.854166746139526367e+00,1.210000038146972656e+00,1.337000012397766113e+00
3.854166746139526367e+00,1.222000002861022949e+00,1.700000017881393433e-01
4.000000000000000000e+00,-2.190999984741210938e+00,-3.999999910593032837e-02
4.000000000000000000e+00,-1.080000042915344238e+00,-5.000000074505805969e-02
4.000000000000000000e+00,-4.699999839067459106e-02,-3.006000041961669922e+00
4.000000000000000000e+00,-4.699999839067459106e-02,-3.005000114440917969e+00
4.000000000000000000e+00,1.490000039339065552e-01,8.999999612569808960e-03
4.000000000000000000e+00,1.210000038146972656e+00,1.490000039339065552e-01
